name,type,size,lines,average line length,average line len (excluding empty),
Argument,cpp,1770,101,16.52,21.4,
Argument,hpp,2908,137,20.23,24.96,
base,hpp,3430,148,22.18,29.3,
BuildCache,cpp,5055,193,25.06,33.3,
BuildCache,hpp,1117,44,24.39,32.52,
BuildConfiguration,cpp,25340,1014,23.99,30.37,
BuildConfiguration,hpp,4274,175,23.42,30.59,
BuildTools,cpp,727,32,21.72,27.8,
BuildTools,hpp,430,17,24.29,37.55,
CMDTools,cpp,547,26,20.04,26.05,
CMDTools,hpp,186,8,22.25,25.43,
Command,cpp,1817,75,22.92,28.56,
Command,hpp,1321,70,17.87,22.75,
Console,cpp,2175,134,15.23,21.71,
Console,hpp,1438,83,16.33,21.17,
FieldDataReader,cpp,565,21,24.73,34.0,
FieldDataReader,hpp,3198,106,29.17,34.74,
FieldFile,cpp,19460,979,18.88,24.48,
FieldFile,hpp,331,14,22.64,28.73,
FieldVar,hpp,11855,515,22.02,26.43,
FilePath,cpp,14801,675,20.93,27.22,
FilePath,hpp,8825,324,26.24,34.84,
FileTools,hpp,1957,85,22.02,27.94,
Glob,cpp,12227,561,20.8,26.76,
Glob,hpp,1736,73,22.78,31.38,
HashTools,hpp,7978,169,46.21,53.86,
Logger,cpp,2156,109,18.78,23.53,
Logger,hpp,5255,235,21.36,29.35,
main,cpp,607,28,20.68,27.57,
Project,cpp,6945,307,21.62,27.54,
Project,hpp,2255,88,24.62,30.96,
PropertyInfo,hpp,176,15,10.73,13.33,
Range,hpp,1623,62,25.18,31.86,
Settings,cpp,3431,143,22.99,30.17,
Settings,hpp,576,32,17.0,21.76,
SourceTools,cpp,1113,51,20.82,27.23,
SourceTools,hpp,2053,70,28.33,34.19,
Startup,cpp,2586,128,19.2,26.15,
Startup,hpp,291,17,16.12,21.08,
StringTools,cpp,706,33,19.79,24.04,
StringTools,hpp,9459,366,24.84,30.72,
CodeTokenizer,cpp,310,15,18.44,24.58,
CodeTokenizer,hpp,959,55,16.44,21.02,
CPreprocessor,cpp,5095,240,20.23,26.82,
CPreprocessor,hpp,1474,81,17.2,24.44,
SourceProcessor,cpp,6299,266,22.68,28.06,
SourceProcessor,hpp,2693,90,28.92,38.85,
BuildCommand,cpp,16723,647,24.85,31.83,
BuildCommand,hpp,2196,92,22.87,30.49,
HelpCommand,cpp,835,31,25.94,33.5,
HelpCommand,hpp,434,23,17.87,21.58,
NewCommand,cpp,1139,43,25.49,31.31,
NewCommand,hpp,460,23,19.0,23.0,
BCEnums,hpp,15,3,4.0,12.0,
FieldIO,hpp,263,12,20.92,22.82,
FieldWriter,hpp,1258,45,26.96,33.69,
ArrayList,hpp,6287,257,23.46,29.7,
Blob,hpp,2107,69,29.54,36.39,
Buffer,hpp,2579,106,23.33,29.8,
Container,hpp,297,21,12.55,17.25,
ContainerTools,hpp,985,51,18.31,23.3,
Error,hpp,3558,210,15.94,16.82,
hash128,hpp,2878,115,24.03,30.36,
NakedArray,hpp,1095,43,24.47,30.94,
SpellChecker,hpp,1059,51,19.76,27.24,
StaticString,hpp,6569,281,22.38,27.82,
StringCursor,hpp,6504,244,25.66,32.43,
Time,hpp,281,15,17.73,24.18,
FileStats,cpp,1857,57,31.58,39.13,
FileStats,hpp,632,32,18.75,23.96,
Math,hpp,564,24,22.5,28.42,
NField,hpp,1281,73,16.55,21.57,
Process,cpp,4464,240,17.6,22.35,
Process,hpp,616,28,21.0,26.73,